response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 200,Chr,20X,2,3,CV,large_neg,-0.418505154618107,0.00912757191001348,Inf,-45.8506554365222,0
QTL DV AF,2 - 200,Peri,20X,2,3,CV,large_neg,-0.421026794258291,0.00912757190996686,Inf,-46.1269216404146,0
QTL DV AF,2 - 200,WT,20X,2,3,CV,large_neg,-0.427470326067599,0.00912757190996769,Inf,-46.8328631408297,0
QTL DV AF,2 - 200,Chr,2X,2,3,CV,large_neg,-0.418277505315828,0.00912757190996801,Inf,-45.8257145976617,0
QTL DV AF,2 - 200,Peri,2X,2,3,CV,large_neg,-0.415066571415944,0.00912757190996583,Inf,-45.473930581994,0
QTL DV AF,2 - 200,WT,2X,2,3,CV,large_neg,-0.423464179071429,0.00912757190996577,Inf,-46.3939570401059,0
QTL DV AF,2 - 200,Chr,20X,8,3,CV,large_neg,-0.382769256157746,0.00912757190996834,Inf,-41.9354960917612,0
QTL DV AF,2 - 200,Peri,20X,8,3,CV,large_neg,-0.390518500797484,0.00912757190996596,Inf,-42.7844890897102,0
QTL DV AF,2 - 200,WT,20X,8,3,CV,large_neg,-0.39993304758108,0.00912757190996606,Inf,-43.8159295293425,0
QTL DV AF,2 - 200,Chr,2X,8,3,CV,large_neg,-0.395935132022043,0.00912757190996601,Inf,-43.3779252497303,0
QTL DV AF,2 - 200,Peri,2X,8,3,CV,large_neg,-0.394816859383303,0.00912757190996598,Inf,-43.2554093550576,0
QTL DV AF,2 - 200,WT,2X,8,3,CV,large_neg,-0.396997751639197,0.00912757190996594,Inf,-43.4943439016608,0
QTL DV AF,2 - 200,Chr,20X,2,4,CV,large_neg,-0.429785021264992,0.00912757190996829,Inf,-47.0864568917415,0
QTL DV AF,2 - 200,Peri,20X,2,4,CV,large_neg,-0.421862674995587,0.00912757190996591,Inf,-46.2184991974675,0
QTL DV AF,2 - 200,WT,20X,2,4,CV,large_neg,-0.429010550682279,0.00912757190996598,Inf,-47.0016073183562,0
QTL DV AF,2 - 200,Chr,2X,2,4,CV,large_neg,-0.425797782651128,0.00912757190996591,Inf,-46.6496223586277,0
QTL DV AF,2 - 200,Peri,2X,2,4,CV,large_neg,-0.425470208665601,0.00912757190996594,Inf,-46.6137339549252,0
QTL DV AF,2 - 200,WT,2X,2,4,CV,large_neg,-0.428599656654259,0.00912757190996589,Inf,-46.956590523959,0
QTL DV AF,2 - 200,Chr,20X,8,4,CV,large_neg,-0.399129975190554,0.00912757190996583,Inf,-43.7279463944588,0
QTL DV AF,2 - 200,Peri,20X,8,4,CV,large_neg,-0.40265061802233,0.00912757190996594,Inf,-44.1136615514029,0
QTL DV AF,2 - 200,WT,20X,8,4,CV,large_neg,-0.410286950646824,0.00912757190996597,Inf,-44.9502841165076,0
QTL DV AF,2 - 200,Chr,2X,8,4,CV,large_neg,-0.40599974304448,0.00912757190996591,Inf,-44.4805855324121,0
QTL DV AF,2 - 200,Peri,2X,8,4,CV,large_neg,-0.407369395711499,0.00912757190996589,Inf,-44.6306421608922,0
QTL DV AF,2 - 200,WT,2X,8,4,CV,large_neg,-0.411596929824561,0.00912757190996601,Inf,-45.0938030271946,0
QTL DV AF,2 - 200,Chr,20X,2,3,GW,large_neg,-0.372151276585812,0.00912757190996823,Inf,-40.7722097680091,0
QTL DV AF,2 - 200,Peri,20X,2,3,GW,large_neg,-0.378644236291861,0.00912757190996592,Inf,-41.4835664979466,0
QTL DV AF,2 - 200,WT,20X,2,3,GW,large_neg,-0.391345126985569,0.00912757190996589,Inf,-42.8750527353591,0
QTL DV AF,2 - 200,Chr,2X,2,3,GW,large_neg,-0.398009330970196,0.00912757190996567,Inf,-43.6051706736642,0
QTL DV AF,2 - 200,Peri,2X,2,3,GW,large_neg,-0.386014262317149,0.00912757190996595,Inf,-42.2910130015716,0
QTL DV AF,2 - 200,WT,2X,2,3,GW,large_neg,-0.385255182625862,0.00912757190996584,Inf,-42.2078496259477,0
QTL DV AF,2 - 200,Chr,20X,8,3,GW,large_neg,-0.382077178497735,0.0091275719099658,Inf,-41.8596733355308,0
QTL DV AF,2 - 200,Peri,20X,8,3,GW,large_neg,-0.379862866822221,0.00912757190996598,Inf,-41.6170774187455,0
QTL DV AF,2 - 200,WT,20X,8,3,GW,large_neg,-0.380421641389218,0.00912757190996594,Inf,-41.6782957331571,0
QTL DV AF,2 - 200,Chr,2X,8,3,GW,large_neg,-0.386239410392162,0.0091275719099659,Inf,-42.3156798107992,0
QTL DV AF,2 - 200,Peri,2X,8,3,GW,large_neg,-0.390619743336623,0.00912757190996594,Inf,-42.7955810361926,0
QTL DV AF,2 - 200,WT,2X,8,3,GW,large_neg,-0.384090191151395,0.009127571909966,Inf,-42.0802153015112,0
QTL DV AF,2 - 200,Chr,20X,2,4,GW,large_neg,-0.369625661850556,0.00912757190996568,Inf,-40.4955080602532,0
QTL DV AF,2 - 200,Peri,20X,2,4,GW,large_neg,-0.380521071524724,0.00912757190996596,Inf,-41.6891891160289,0
QTL DV AF,2 - 200,WT,20X,2,4,GW,large_neg,-0.372085654671086,0.0091275719099659,Inf,-40.7650203516694,0
QTL DV AF,2 - 200,Chr,2X,2,4,GW,large_neg,-0.389644817374121,0.00912757190996587,Inf,-42.6887699398665,0
QTL DV AF,2 - 200,Peri,2X,2,4,GW,large_neg,-0.387581497352599,0.00912757190996601,Inf,-42.4627163911374,0
QTL DV AF,2 - 200,WT,2X,2,4,GW,large_neg,-0.392182345418651,0.00912757190996592,Inf,-42.9667768478983,0
QTL DV AF,2 - 200,Chr,20X,8,4,GW,large_neg,-0.384642728618861,0.00912757190996591,Inf,-42.1407502907635,0
QTL DV AF,2 - 200,Peri,20X,8,4,GW,large_neg,-0.37789425648389,0.00912757190996597,Inf,-41.4014000888105,0
QTL DV AF,2 - 200,WT,20X,8,4,GW,large_neg,-0.376957399264112,0.009127571909966,Inf,-41.2987597339582,0
QTL DV AF,2 - 200,Chr,2X,8,4,GW,large_neg,-0.388128908283227,0.00912757190996596,Inf,-42.5226897264373,0
QTL DV AF,2 - 200,Peri,2X,8,4,GW,large_neg,-0.38780034326483,0.00912757190996591,Inf,-42.4866927469957,0
QTL DV AF,2 - 200,WT,2X,8,4,GW,large_neg,-0.393054749618594,0.00912757190996604,Inf,-43.0623558483755,0
QTL DV AF,2 - 200,Chr,20X,2,3,CV,med_neg,-0.348829066617723,0.00912757190996746,Inf,-38.2170713151868,0
QTL DV AF,2 - 200,Peri,20X,2,3,CV,med_neg,-0.340766689238664,0.009127571909966,Inf,-37.3337720699407,4.64958986982632e-305
QTL DV AF,2 - 200,WT,20X,2,3,CV,med_neg,-0.346053865300167,0.00912757190996611,Inf,-37.9130253602628,0
QTL DV AF,2 - 200,Chr,2X,2,3,CV,med_neg,-0.336650863836059,0.00912757190996586,Inf,-36.8828498046112,8.70398594205609e-298
QTL DV AF,2 - 200,Peri,2X,2,3,CV,med_neg,-0.33474529831625,0.00912757190996587,Inf,-36.6740795491034,1.89147746341246e-294
QTL DV AF,2 - 200,WT,2X,2,3,CV,med_neg,-0.343229613225955,0.00912757190996594,Inf,-37.6036054946003,0
QTL DV AF,2 - 200,Chr,20X,8,3,CV,med_neg,-0.448907205344107,0.00912757190996601,Inf,-49.1814482287413,0
QTL DV AF,2 - 200,Peri,20X,8,3,CV,med_neg,-0.443166123718883,0.00912757190996594,Inf,-48.5524658792348,0
QTL DV AF,2 - 200,WT,20X,8,3,CV,med_neg,-0.449182852000974,0.00912757190996599,Inf,-49.2116475697695,0
QTL DV AF,2 - 200,Chr,2X,8,3,CV,med_neg,-0.444856440336749,0.00912757190996594,Inf,-48.7376538607199,0
QTL DV AF,2 - 200,Peri,2X,8,3,CV,med_neg,-0.445864532088824,0.00912757190996592,Inf,-48.848098539986,0
QTL DV AF,2 - 200,WT,2X,8,3,CV,med_neg,-0.44374353953148,0.00912757190996596,Inf,-48.6157264942474,0
QTL DV AF,2 - 200,Chr,20X,2,4,CV,med_neg,-0.370749129453408,0.00912757190996597,Inf,-40.6185931056434,0
QTL DV AF,2 - 200,Peri,20X,2,4,CV,med_neg,-0.361987360297705,0.00912757190996589,Inf,-39.658669782976,0
QTL DV AF,2 - 200,WT,20X,2,4,CV,med_neg,-0.359422270009755,0.00912757190996597,Inf,-39.3776432062198,0
QTL DV AF,2 - 200,Chr,2X,2,4,CV,med_neg,-0.358125731454362,0.00912757190996591,Inf,-39.2355968254102,0
QTL DV AF,2 - 200,Peri,2X,2,4,CV,med_neg,-0.355701000488043,0.0091275719099659,Inf,-38.9699477579215,0
QTL DV AF,2 - 200,WT,2X,2,4,CV,med_neg,-0.357402018667644,0.00912757190996597,Inf,-39.1563081828382,0
QTL DV AF,2 - 200,Chr,20X,8,4,CV,med_neg,-0.496054786481206,0.00912757190996595,Inf,-54.3468505506473,0
QTL DV AF,2 - 200,Peri,20X,8,4,CV,med_neg,-0.49269103282089,0.00912757190996592,Inf,-53.9783238829317,0
QTL DV AF,2 - 200,WT,20X,8,4,CV,med_neg,-0.49167014214251,0.00912757190996602,Inf,-53.8664769768262,0
QTL DV AF,2 - 200,Chr,2X,8,4,CV,med_neg,-0.492198584675451,0.00912757190996596,Inf,-53.9243721693436,0
QTL DV AF,2 - 200,Peri,2X,8,4,CV,med_neg,-0.48899541056613,0.0091275719099658,Inf,-53.5734383020557,0
QTL DV AF,2 - 200,WT,2X,8,4,CV,med_neg,-0.490964879819423,0.00912757190996612,Inf,-53.7892097331332,0
QTL DV AF,2 - 200,Chr,20X,2,3,GW,med_neg,-0.229656091897252,0.00912757190996593,Inf,-25.1606992705806,1.07927122282757e-139
QTL DV AF,2 - 200,Peri,20X,2,3,GW,med_neg,-0.237876363636359,0.00912757190996589,Inf,-26.0612971316758,1.00186684690845e-149
QTL DV AF,2 - 200,WT,20X,2,3,GW,med_neg,-0.249104851778654,0.00912757190996595,Inf,-27.2914696521501,5.35533737203015e-164
QTL DV AF,2 - 200,Chr,2X,2,3,GW,med_neg,-0.242916131422918,0.0091275719099659,Inf,-26.6134448261855,4.744266956625e-156
QTL DV AF,2 - 200,Peri,2X,2,3,GW,med_neg,-0.263358745059289,0.0091275719099659,Inf,-28.8530999982309,4.63286681340609e-183
QTL DV AF,2 - 200,WT,2X,2,3,GW,med_neg,-0.261366833003953,0.009127571909966,Inf,-28.6348697750141,2.47391221535512e-180
QTL DV AF,2 - 200,Chr,20X,8,3,GW,med_neg,-0.378538124999996,0.00912757190996596,Inf,-41.4719411398653,0
QTL DV AF,2 - 200,Peri,20X,8,3,GW,med_neg,-0.379888470849803,0.00912757190996597,Inf,-41.6198825489417,0
QTL DV AF,2 - 200,WT,20X,8,3,GW,med_neg,-0.370282697628458,0.009127571909966,Inf,-40.5674916923046,0
QTL DV AF,2 - 200,Chr,2X,8,3,GW,med_neg,-0.382176082015811,0.00912757190996596,Inf,-41.8705090231644,0
QTL DV AF,2 - 200,Peri,2X,8,3,GW,med_neg,-0.384584496047431,0.00912757190996611,Inf,-42.1343704372808,0
QTL DV AF,2 - 200,WT,2X,8,3,GW,med_neg,-0.384626410573122,0.00912757190996608,Inf,-42.1389625156677,0
QTL DV AF,2 - 200,Chr,20X,2,4,GW,med_neg,-0.212331450098813,0.00912757190996597,Inf,-23.2626433615909,1.05956494039659e-119
QTL DV AF,2 - 200,Peri,20X,2,4,GW,med_neg,-0.220229770256917,0.00912757190996593,Inf,-24.1279687992882,1.27198571296708e-128
QTL DV AF,2 - 200,WT,20X,2,4,GW,med_neg,-0.211235560770752,0.00912757190996597,Inf,-23.1425797412906,1.72671088807999e-118
QTL DV AF,2 - 200,Chr,2X,2,4,GW,med_neg,-0.220187554347829,0.00912757190996596,Inf,-24.1233437018903,1.42241168164306e-128
QTL DV AF,2 - 200,Peri,2X,2,4,GW,med_neg,-0.210094552865612,0.00912757190996584,Inf,-23.0175730126237,3.10866761390023e-117
QTL DV AF,2 - 200,WT,2X,2,4,GW,med_neg,-0.207285308794466,0.00912757190996608,Inf,-22.709797396188,3.5849131784453e-114
QTL DV AF,2 - 200,Chr,20X,8,4,GW,med_neg,-0.392534928359682,0.00912757190996601,Inf,-43.0054051867934,0
QTL DV AF,2 - 200,Peri,20X,8,4,GW,med_neg,-0.383680155632411,0.00912757190996605,Inf,-42.0352925637852,0
QTL DV AF,2 - 200,WT,20X,8,4,GW,med_neg,-0.349905113636363,0.00912757190996615,Inf,-38.3349610485469,0
QTL DV AF,2 - 200,Chr,2X,8,4,GW,med_neg,-0.380313347332016,0.00912757190996608,Inf,-41.6664312353173,0
QTL DV AF,2 - 200,Peri,2X,8,4,GW,med_neg,-0.386382670454545,0.00912757190996624,Inf,-42.3313751198893,0
QTL DV AF,2 - 200,WT,2X,8,4,GW,med_neg,-0.365022865612648,0.00912757190996599,Inf,-39.9912341653639,0
QTL DV AF,2 - 200,Chr,20X,2,3,CV,small_neg,-0.124171298511411,0.00912757190996741,Inf,-13.6039792111431,3.79226221535132e-42
QTL DV AF,2 - 200,Peri,20X,2,3,CV,small_neg,-0.0920571548821598,0.00912757190996603,Inf,-10.0856126678823,6.3964888621662e-24
QTL DV AF,2 - 200,WT,20X,2,3,CV,small_neg,-0.133051087630693,0.00912757190996603,Inf,-14.5768325840763,3.94395273166984e-48
QTL DV AF,2 - 200,Chr,2X,2,3,CV,small_neg,-0.111307013113603,0.00912757190996599,Inf,-12.1945917503067,3.32164506442992e-34
QTL DV AF,2 - 200,Peri,2X,2,3,CV,small_neg,-0.112912515505937,0.00912757190996596,Inf,-12.3704876411494,3.77522434879157e-35
QTL DV AF,2 - 200,WT,2X,2,3,CV,small_neg,-0.115431897926632,0.00912757190996596,Inf,-12.6465065479898,1.16960878542858e-36
QTL DV AF,2 - 200,Chr,20X,8,3,CV,small_neg,-0.308404747031766,0.00912757190996601,Inf,-33.7882571700183,2.93390195689826e-250
QTL DV AF,2 - 200,Peri,20X,8,3,CV,small_neg,-0.323850613592056,0.00912757190996602,Inf,-35.4804779175124,9.83317884008496e-276
QTL DV AF,2 - 200,WT,20X,8,3,CV,small_neg,-0.324217005582134,0.00912757190996599,Inf,-35.5206191504375,2.36220981074019e-276
QTL DV AF,2 - 200,Chr,2X,8,3,CV,small_neg,-0.306480336257299,0.00912757190996598,Inf,-33.5774222630519,3.58351732901415e-247
QTL DV AF,2 - 200,Peri,2X,8,3,CV,small_neg,-0.319369065656566,0.00912757190996593,Inf,-34.9894877637571,3.25119870976504e-268
QTL DV AF,2 - 200,WT,2X,8,3,CV,small_neg,-0.317081570086834,0.00912757190996597,Inf,-34.7388739540498,2.04072496142625e-264
QTL DV AF,2 - 200,Chr,20X,2,4,CV,small_neg,-0.142682487152236,0.00912757190996602,Inf,-15.6320310110564,4.40534531366774e-55
QTL DV AF,2 - 200,Peri,20X,2,4,CV,small_neg,-0.141915337586389,0.009127571909966,Inf,-15.5479835148094,1.64194625773449e-54
QTL DV AF,2 - 200,WT,20X,2,4,CV,small_neg,-0.168027177476517,0.00912757190996599,Inf,-18.4087486939496,1.11775357970074e-75
QTL DV AF,2 - 200,Chr,2X,2,4,CV,small_neg,-0.146584117490694,0.00912757190996602,Inf,-16.0594864588955,4.90596184132867e-58
QTL DV AF,2 - 200,Peri,2X,2,4,CV,small_neg,-0.136737364876838,0.00912757190996603,Inf,-14.9806943429873,9.81858713526683e-51
QTL DV AF,2 - 200,WT,2X,2,4,CV,small_neg,-0.113779397040581,0.00912757190996599,Inf,-12.4654615885689,1.1520278391765e-35
QTL DV AF,2 - 200,Chr,20X,8,4,CV,small_neg,-0.398530985291505,0.00912757190996594,Inf,-43.6623221621917,0
QTL DV AF,2 - 200,Peri,20X,8,4,CV,small_neg,-0.385533933634591,0.00912757190996601,Inf,-42.2383890740584,0
QTL DV AF,2 - 200,WT,20X,8,4,CV,small_neg,-0.375780121389332,0.00912757190996595,Inf,-41.1697793340895,0
QTL DV AF,2 - 200,Chr,2X,8,4,CV,small_neg,-0.377289874623428,0.009127571909966,Inf,-41.3351851231631,0
QTL DV AF,2 - 200,Peri,2X,8,4,CV,small_neg,-0.372783904837852,0.00912757190996595,Inf,-40.8415193564049,0
QTL DV AF,2 - 200,WT,2X,8,4,CV,small_neg,-0.38360991936913,0.00912757190996604,Inf,-42.0275976078897,0
QTL DV AF,2 - 200,Chr,20X,2,3,GW,small_neg,-0.072639969038872,0.00912757190996601,Inf,-7.95830147988859,1.7441695809793e-15
QTL DV AF,2 - 200,Peri,20X,2,3,GW,small_neg,-0.0590909808848598,0.009127571909966,Inf,-6.47389924371244,9.55056001475057e-11
QTL DV AF,2 - 200,WT,20X,2,3,GW,small_neg,-0.0834877007987069,0.009127571909966,Inf,-9.14675903101353,5.86671911913373e-20
QTL DV AF,2 - 200,Chr,2X,2,3,GW,small_neg,-0.0870241137934105,0.00912757190996594,Inf,-9.5342019380196,1.51042806307486e-21
QTL DV AF,2 - 200,Peri,2X,2,3,GW,small_neg,-0.0601344431481635,0.00912757190996602,Inf,-6.58821905117013,4.45133589794337e-11
QTL DV AF,2 - 200,WT,2X,2,3,GW,small_neg,-0.0709057121062546,0.00912757190996595,Inf,-7.76829947829128,7.95468095614248e-15
QTL DV AF,2 - 200,Chr,20X,8,3,GW,small_neg,-0.166941348828855,0.00912757190996596,Inf,-18.2897873033003,9.98037451791556e-75
QTL DV AF,2 - 200,Peri,20X,8,3,GW,small_neg,-0.16720828995782,0.00912757190996606,Inf,-18.3190328826938,5.83403692925792e-75
QTL DV AF,2 - 200,WT,20X,8,3,GW,small_neg,-0.202379583595082,0.00912757190996599,Inf,-22.1723351611301,6.35277233806102e-109
QTL DV AF,2 - 200,Chr,2X,8,3,GW,small_neg,-0.206428336175177,0.00912757190996591,Inf,-22.6159090513206,3.0224078046128e-113
QTL DV AF,2 - 200,Peri,2X,8,3,GW,small_neg,-0.182023366687607,0.00912757190996595,Inf,-19.9421454558868,1.75379124874011e-88
QTL DV AF,2 - 200,WT,2X,8,3,GW,small_neg,-0.19066614017769,0.00912757190996593,Inf,-20.889031832169,6.73713156816374e-97
QTL DV AF,2 - 200,WT,20X,2,4,GW,small_neg,0.0367927084268139,0.00912757190996593,Inf,4.03094150226763,5.55538702216743e-05
QTL DV AF,2 - 200,Peri,2X,2,4,GW,small_neg,0.0355732724580451,0.00912757190996619,Inf,3.89734233911687,9.72540957180249e-05
QTL DV AF,2 - 200,WT,2X,2,4,GW,small_neg,0.0347369177959262,0.00912757190996592,Inf,3.80571285973642,0.000141396348610611
QTL DV AF,2 - 200,Chr,20X,8,4,GW,small_neg,-0.162886908821682,0.00912757190996595,Inf,-17.845590309054,3.12780440176631e-71
QTL DV AF,2 - 200,Peri,20X,8,4,GW,small_neg,-0.151181344790452,0.00912757190996614,Inf,-16.5631502311564,1.28676802032637e-61
QTL DV AF,2 - 200,WT,20X,8,4,GW,small_neg,-0.0967363456878754,0.00912757190996575,Inf,-10.5982562111897,3.035879891046e-26
QTL DV AF,2 - 200,Chr,2X,8,4,GW,small_neg,-0.141582964641479,0.00912757190996598,Inf,-15.5115693459386,2.8971048950919e-54
QTL DV AF,2 - 200,Peri,2X,8,4,GW,small_neg,-0.141791196266714,0.00912757190996615,Inf,-15.5343828200243,2.03017339877111e-54
QTL DV AF,2 - 200,WT,2X,8,4,GW,small_neg,-0.102503728798349,0.00912757190996573,Inf,-11.2301201030728,2.90083968378841e-29
