response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - WT,20X,200,2,3,CV,negative_QTL,DV,-0.0220305868175963,0.00576834677914852,Inf,-3.81922024820572,0.000393528760755379
QTL fixation,Peri - WT,20X,200,2,3,CV,negative_QTL,DV,-0.0172046363798096,0.00576834677914853,Inf,-2.98259398030664,0.00804317680212052
QTL fixation,Chr - Peri,2X,2,8,3,CV,negative_QTL,DV,0.019523809523643,0.00576834677914849,Inf,3.38464559624223,0.00205883764368464
QTL fixation,Chr - WT,20X,200,8,3,CV,negative_QTL,DV,-0.0156836969866817,0.00576834677914851,Inf,-2.71892408469187,0.0179868336703184
QTL fixation,Peri - WT,20X,200,8,3,CV,negative_QTL,DV,-0.0177977566750124,0.00576834677914854,Inf,-3.0854172532324,0.00576513458353056
QTL fixation,Chr - WT,20X,200,2,4,CV,negative_QTL,DV,-0.0227253279597146,0.00576834677914853,Inf,-3.93966050062426,0.000240666416174484
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,DV,-0.0203114595643119,0.00576834677914855,Inf,-3.52119252568757,0.00124913612991029
QTL fixation,Chr - WT,20X,200,8,4,CV,negative_QTL,DV,-0.0238799197637271,0.00576834677914851,Inf,-4.13982041614567,0.000102981202313224
QTL fixation,Peri - WT,20X,200,8,4,CV,negative_QTL,DV,-0.022153513931463,0.00576834677914853,Inf,-3.84053087992971,0.000361112333350011
QTL fixation,Chr - WT,20X,2,2,5,CV,negative_QTL,DV,-0.0145238095246903,0.00576834677914874,Inf,-2.51784611445182,0.0316769871860739
QTL fixation,Peri - WT,20X,2,2,5,CV,negative_QTL,DV,-0.0152380952381361,0.00576834677914865,Inf,-2.64167461173079,0.0224655015685296
QTL fixation,Peri - WT,2X,2,2,5,CV,negative_QTL,DV,0.0164285714286415,0.00576834677914854,Inf,2.84805544077683,0.0122354230254388
QTL fixation,Chr - WT,20X,200,2,5,CV,negative_QTL,DV,-0.0213126129500989,0.00576834677914855,Inf,-3.69475237292249,0.000644365820591242
QTL fixation,Peri - WT,20X,200,2,5,CV,negative_QTL,DV,-0.0168082135062164,0.00576834677914853,Inf,-2.91387015201216,0.00998829457870642
QTL fixation,Chr - WT,20X,200,8,5,CV,negative_QTL,DV,-0.0260434429696803,0.00576834677914856,Inf,-4.5148885749765,1.88768939284323e-05
QTL fixation,Peri - WT,20X,200,8,5,CV,negative_QTL,DV,-0.0237684027654614,0.00576834677914856,Inf,-4.12048784088008,0.000111972696089535
QTL fixation,Chr - WT,20X,2,2,3,GW,negative_QTL,DV,0.018571428571839,0.00576834677914852,Inf,3.21954093310951,0.00367451088416237
QTL fixation,Chr - Peri,20X,200,2,4,GW,negative_QTL,DV,0.0170319426790025,0.00576834677914859,Inf,2.95265581822674,0.00884424060938105
QTL fixation,Peri - WT,20X,200,2,4,GW,negative_QTL,DV,-0.0176624634522558,0.00576834677914855,Inf,-3.06196283415243,0.00622596106904227
QTL fixation,Chr - Peri,20X,2,2,5,GW,negative_QTL,DV,0.0135714285724182,0.00576834677914859,Inf,2.35274145123803,0.048866935471607
QTL fixation,Chr - Peri,2X,2,2,5,GW,negative_QTL,DV,0.0142857142849648,0.00576834677914851,Inf,2.47656994836111,0.0353965186926226
QTL fixation,Peri - WT,2X,2,2,5,GW,negative_QTL,DV,-0.0226190476190466,0.00576834677914852,Inf,-3.9212357517773,0.000259710022914694
QTL fixation,Chr - Peri,20X,200,2,5,GW,negative_QTL,DV,0.0182572707634839,0.00576834677914852,Inf,3.16507856800158,0.00442158901141498
QTL fixation,Peri - WT,20X,200,8,5,GW,negative_QTL,DV,-0.0144838393493024,0.0057683467791486,Inf,-2.51091688898776,0.0322768849520145
QTL fixation,Chr - WT,20X,200,2,1,CV,positive_QTL,DV,-0.0220205735348275,0.00576834677914842,Inf,-3.81748434654242,0.000396286263704138
QTL fixation,Peri - WT,20X,200,2,1,CV,positive_QTL,DV,-0.0198263445506421,0.00576834677914849,Inf,-3.43709303717847,0.00170303789574266
QTL fixation,Chr - WT,20X,200,2,2,CV,positive_QTL,DV,-0.0180617515690835,0.00576834677914851,Inf,-3.13118338071721,0.00495390818422703
QTL fixation,Peri - WT,20X,200,2,2,CV,positive_QTL,DV,-0.014685358239034,0.0057683467791485,Inf,-2.54585218283318,0.0293490210786822
QTL fixation,Chr - WT,20X,200,2,3,CV,positive_QTL,DV,-0.0249190471525519,0.00576834677914853,Inf,-4.31996343261288,4.63811091822031e-05
QTL fixation,Peri - WT,20X,200,2,3,CV,positive_QTL,DV,-0.0226376043059313,0.00576834677914853,Inf,-3.92445273709304,0.000256285812665569
QTL fixation,Chr - WT,2X,200,2,3,CV,positive_QTL,DV,-0.0140853861623097,0.00576834677914858,Inf,-2.4418410857727,0.0388093535420997
QTL fixation,Chr - Peri,2X,2,8,3,CV,positive_QTL,DV,-0.0216666666667124,0.00576834677914851,Inf,-3.75613108855267,0.000506242636979848
QTL fixation,Chr - WT,20X,200,8,3,CV,positive_QTL,DV,-0.01927073180724,0.00576834677914856,Inf,-3.34077206954685,0.00240786409859728
QTL fixation,Peri - WT,20X,200,8,3,CV,positive_QTL,DV,-0.0183928183312037,0.00576834677914852,Inf,-3.188577080298,0.00408372864738915
QTL fixation,Chr - WT,20X,200,2,4,CV,positive_QTL,DV,-0.0239426690989778,0.00576834677914852,Inf,-4.15069863440354,9.82271906039278e-05
QTL fixation,Peri - WT,20X,200,2,4,CV,positive_QTL,DV,-0.0197245509181783,0.00576834677914859,Inf,-3.41944610360087,0.00181585799347039
QTL fixation,Chr - WT,20X,200,8,4,CV,positive_QTL,DV,-0.0241713001945088,0.00576834677914852,Inf,-4.19033409743733,8.26068113592982e-05
QTL fixation,Peri - WT,20X,200,8,4,CV,positive_QTL,DV,-0.021673799830963,0.00576834677914856,Inf,-3.75736769316809,0.00050376868743196
QTL fixation,Chr - WT,20X,200,2,5,CV,positive_QTL,DV,-0.0295141723602821,0.00576834677914861,Inf,-5.11657386254408,9.31241573742803e-07
QTL fixation,Peri - WT,20X,200,2,5,CV,positive_QTL,DV,-0.0242502405189818,0.00576834677914855,Inf,-4.20401918390927,7.77839735865982e-05
QTL fixation,Chr - Peri,2X,2,8,5,CV,positive_QTL,DV,-0.0180952380953268,0.00576834677914853,Inf,-3.13698860143735,0.00485879004062451
QTL fixation,Chr - WT,20X,200,8,5,CV,positive_QTL,DV,-0.0285178225749621,0.00576834677914857,Inf,-4.94384676698849,2.29055433698111e-06
QTL fixation,Peri - WT,20X,200,8,5,CV,positive_QTL,DV,-0.0253249138704331,0.00576834677914859,Inf,-4.39032444477464,3.36729572363304e-05
QTL fixation,Peri - WT,2X,200,2,1,GW,positive_QTL,DV,-0.0138671571512152,0.00576834677914848,Inf,-2.40400892701917,0.0428417472071052
QTL fixation,Chr - WT,20X,2,2,2,GW,positive_QTL,DV,-0.0278571428562847,0.00576834677914855,Inf,-4.82931139940872,4.094091112683e-06
QTL fixation,Peri - WT,20X,2,2,2,GW,positive_QTL,DV,-0.0264285714285577,0.00576834677914857,Inf,-4.581654404706,1.37560134916281e-05
QTL fixation,Chr - WT,20X,2,8,2,GW,positive_QTL,DV,-0.0233333333331496,0.00576834677914851,Inf,-4.04506424917018,0.000154673819332651
QTL fixation,Peri - WT,20X,2,8,2,GW,positive_QTL,DV,-0.017857142857144,0.00576834677914873,Inf,-3.09571243561388,0.00557280470626986
QTL fixation,Chr - Peri,20X,2,2,3,GW,positive_QTL,DV,0.0138095238099915,0.00576834677914847,Inf,2.39401761695577,0.0439640250358895
QTL fixation,Chr - WT,20X,2,2,3,GW,positive_QTL,DV,-0.0195238095233234,0.0057683467791485,Inf,-3.38464559618682,0.00205883764409454
QTL fixation,Peri - WT,20X,2,2,3,GW,positive_QTL,DV,-0.0333333333333149,0.00576834677914847,Inf,-5.77866321314261,2.25747427418099e-08
QTL fixation,Chr - Peri,20X,200,2,3,GW,positive_QTL,DV,0.0137042708294004,0.00576834677914852,Inf,2.37577097114527,0.0460776861503798
QTL fixation,Peri - WT,20X,200,2,3,GW,positive_QTL,DV,-0.0175635645329995,0.00576834677914852,Inf,-3.04481772775667,0.00658364894625352
QTL fixation,Chr - WT,20X,2,8,3,GW,positive_QTL,DV,-0.0171428571428399,0.00576834677914856,Inf,-2.97188393818623,0.00832192114385999
QTL fixation,Peri - WT,20X,2,8,3,GW,positive_QTL,DV,-0.0209523809523883,0.00576834677914849,Inf,-3.63230259112149,0.000820482067589334
QTL fixation,Chr - Peri,20X,200,2,4,GW,positive_QTL,DV,0.0172654225512035,0.0057683467791486,Inf,2.99313186468165,0.00777714463308121
QTL fixation,Peri - WT,20X,200,2,4,GW,positive_QTL,DV,-0.0194264596941429,0.00576834677914858,Inf,-3.36776903988602,0.00218716757300075
QTL fixation,Peri - WT,20X,2,2,5,GW,positive_QTL,DV,-0.0154761904761897,0.00576834677914853,Inf,-2.68295077753182,0.0199641958434038
QTL fixation,Chr - Peri,20X,200,2,5,GW,positive_QTL,DV,0.0179063626515208,0.00576834677914849,Inf,3.10424517406772,0.00541783255873873
QTL fixation,Peri - WT,20X,200,2,5,GW,positive_QTL,DV,-0.0215138306702933,0.0057683467791486,Inf,-3.72963545604808,0.000562064038604926
QTL fixation,Peri - WT,2X,2,8,5,GW,positive_QTL,DV,-0.0157142857142863,0.00576834677914864,Inf,-2.72422694334018,0.0177104150147379
QTL fixation,Peri - WT,20X,200,8,5,GW,positive_QTL,DV,-0.021098725676083,0.00576834677914852,Inf,-3.65767289725903,0.000744117008268264
QTL fixation,Chr - Peri,20X,2,8,3,CV,negative_QTL,R,0.0154761904760779,0.00576834677914852,Inf,2.68295077751243,0.0199641958445187
QTL fixation,Chr - WT,20X,2,8,3,CV,negative_QTL,R,0.0147619047618066,0.0057683467791485,Inf,2.55912228009039,0.0282984986635058
QTL fixation,Peri - WT,2X,2,8,3,CV,negative_QTL,R,-0.0221428571428567,0.00576834677914852,Inf,-3.83868342016103,0.000363820034818718
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,R,-0.0142234440017003,0.00576834677914849,Inf,-2.46577477850593,0.0364287903406039
QTL fixation,Chr - WT,20X,200,2,5,CV,negative_QTL,R,-0.0157941254684569,0.00576834677914854,Inf,-2.7380679548514,0.0170064759267123
QTL fixation,Peri - WT,20X,200,2,5,CV,negative_QTL,R,-0.0142385172142865,0.00576834677914852,Inf,-2.4683878690782,0.0361765887561962
QTL fixation,Chr - WT,2X,2,8,5,GW,negative_QTL,R,0.0154761904761662,0.00576834677914852,Inf,2.68295077752775,0.0199641958436382
QTL fixation,Chr - WT,20X,200,2,1,CV,positive_QTL,R,-0.0189311589040569,0.00576834677914852,Inf,-3.28190374623271,0.00296189795125768
QTL fixation,Peri - WT,20X,200,2,1,CV,positive_QTL,R,-0.0143318726390758,0.00576834677914852,Inf,-2.48457195584753,0.0346475685268817
QTL fixation,Peri - WT,20X,2,2,3,CV,positive_QTL,R,0.016190476190488,0.00576834677914847,Inf,2.80677927495859,0.0138647203043848
QTL fixation,Chr - WT,20X,200,2,3,CV,positive_QTL,R,-0.0168932942961307,0.00576834677914858,Inf,-2.92861974893683,0.00953847169950017
QTL fixation,Chr - Peri,20X,2,8,3,CV,positive_QTL,R,-0.0183333333333872,0.00576834677914845,Inf,-3.17826476723954,0.00422898704481589
QTL fixation,Chr - WT,20X,2,8,3,CV,positive_QTL,R,-0.0154761904762442,0.00576834677914851,Inf,-2.68295077754128,0.0199641958428599
QTL fixation,Peri - WT,2X,2,8,3,CV,positive_QTL,R,0.0259523809523791,0.0057683467791484,Inf,4.49910207309183,2.03306034810558e-05
QTL fixation,Peri - WT,20X,200,2,4,CV,positive_QTL,R,-0.0143214912593694,0.0057683467791485,Inf,-2.48277224093719,0.0348148208991932
QTL fixation,Chr - WT,20X,200,2,5,CV,positive_QTL,R,-0.0192176519167394,0.00576834677914857,Inf,-3.33157014522903,0.00248765416350905
QTL fixation,Peri - WT,20X,200,2,5,CV,positive_QTL,R,-0.0184803564959063,0.00576834677914857,Inf,-3.20375268746136,0.00387823576856405
QTL fixation,Peri - WT,20X,2,8,5,CV,positive_QTL,R,0.0178571428571329,0.00576834677914849,Inf,3.09571243561208,0.00557280470630261
QTL fixation,Chr - WT,20X,200,8,5,CV,positive_QTL,R,-0.0142044630854658,0.00576834677914857,Inf,-2.46248424883402,0.0367485080059056
QTL fixation,Peri - WT,2X,2,2,1,GW,positive_QTL,R,-0.0138095238094821,0.00576834677914843,Inf,-2.39401761686748,0.0439640250459155
QTL fixation,Chr - WT,2X,2,2,2,GW,positive_QTL,R,-0.0190476190476949,0.00576834677914833,Inf,-3.30209326466798,0.00275990972077422
QTL fixation,Peri - WT,2X,2,2,2,GW,positive_QTL,R,-0.0204761904761898,0.00576834677914855,Inf,-3.54975025950367,0.00112254094649
QTL fixation,Peri - WT,20X,2,8,2,GW,positive_QTL,R,-0.0140476190476194,0.00576834677914873,Inf,-2.43529378268282,0.039483184049097
QTL fixation,Chr - WT,20X,2,8,3,GW,positive_QTL,R,-0.0230952380952777,0.00576834677914853,Inf,-4.00378808340069,0.000184149273792955
QTL fixation,Chr - Peri,2X,2,8,3,GW,positive_QTL,R,0.0257142857142841,0.00576834677914853,Inf,4.45782590728359,2.46543159554413e-05
QTL fixation,Peri - WT,2X,2,8,3,GW,positive_QTL,R,-0.0192857142857136,0.00576834677914855,Inf,-3.34336943046277,0.00238577245045102
QTL fixation,Chr - WT,20X,2,2,4,GW,positive_QTL,R,-0.0157142857141207,0.00576834677914849,Inf,-2.72422694331154,0.0177104150162206
QTL fixation,Peri - WT,20X,2,2,4,GW,positive_QTL,R,-0.0140476190476207,0.00576834677914846,Inf,-2.43529378268317,0.0394831840490608
QTL fixation,Chr - WT,2X,2,2,5,GW,positive_QTL,R,-0.0238095238095151,0.00576834677914857,Inf,-4.12761658081685,0.000108573886327346
QTL fixation,Peri - WT,2X,2,2,5,GW,positive_QTL,R,-0.0219047619047627,0.00576834677914848,Inf,-3.79740725435309,0.00042952526791451
QTL fixation,Peri - WT,20X,200,2,5,GW,positive_QTL,R,-0.0176360180041175,0.00576834677914868,Inf,-3.05737825400301,0.0063198418467777
QTL fixation,Chr - WT,2X,2,8,5,GW,positive_QTL,R,-0.0264285714285727,0.00576834677914864,Inf,-4.58165440470854,1.37560134915171e-05
QTL fixation,Peri - WT,2X,2,8,5,GW,positive_QTL,R,-0.0240476190476188,0.00576834677914833,Inf,-4.16889274662668,9.07377811110166e-05
